State,2022-07-01,2020-04-01
California,39029342,39538223
Texas,30029572,29145505
Florida,22244823,21538187
New York,19677151,20201249
Pennsylvania,12972008,13002700
Illinois,12582032,12812508
Ohio,11756058,11799448
Georgia,10912876,10711908
North Carolina,10698973,10439388
Michigan,10034113,10077331
New Jersey,9261699,9288994
Virginia,8683619,8631393
Washington,7785786,7705281
Arizona,7359197,7151502
Tennessee,7051339,6910840
Massachusetts,6981974,7029917
Indiana,6833037,6785528
Missouri,6177957,6154913
Maryland,6164660,6177224
Wisconsin,5892539,5893718
Colorado,5839926,5773714
Minnesota,5717184,5706494
South Carolina,5282634,5118425
Alabama,5074296,5024279
Louisiana,4590241,4657757
Kentucky,4512310,4505836
Oregon,4240137,4237256
Oklahoma,4019800,3959353
Connecticut,3626205,3605944
Utah,3380800,3271616
Puerto Rico,3221789,3285874
Iowa,3200517,3190369
Nevada,3177772,3104614
Arkansas,3045637,3011524
Mississippi,2940057,2961279
Kansas,2937150,2937880
New Mexico,2113344,2117522
Nebraska,1967923,1961504
Idaho,1939033,1839106
West Virginia,1775156,1793716
Hawaii,1440196,1455271
New Hampshire,1395231,1377529
Maine,1385340,1362359
Montana,1122867,1084225
Rhode Island,1093734,1097379
Delaware,1018396,989948
South Dakota,909824,886667
North Dakota,779261,779094
Alaska,733583,733391
District of Columbia,671803,689545
Vermont,647064,643077
Wyoming,581381,576851

